system:index,Fecha,Hora,Temperatura,.geo
0,2022-02-02,,22.019999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2022-02-02,,11.629999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2022-02-03,,20.089999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2022-02-03,,22.560000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2022-02-04,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2022-02-04,,22.079999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2022-02-05,,21.410000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2022-02-05,,21.720000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2022-02-06,,14.050000000000011,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2022-02-06,,13.560000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2022-02-07,,-0.6499999999999773,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2022-02-07,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2022-02-08,,16.69999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2022-02-08,,12.629999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2022-02-09,,4.389999999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2022-02-09,,11.720000000000027,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2022-02-10,,7.6200000000000045,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2022-02-10,,12.430000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2022-02-11,,7.9599999999999795,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2022-02-11,,19.129999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2022-02-12,,5.4599999999999795,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2022-02-12,,7.139999999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2022-02-13,,15.740000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2022-02-13,,16.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2022-02-14,,-2.8000000000000114,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2022-02-14,,19.149999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2022-02-15,,4.7099999999999795,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2022-02-15,,15.20999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2022-02-16,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2022-02-16,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2022-02-17,,14.339999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2022-02-17,,18.410000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2022-02-18,,7.069999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2022-02-18,,18.120000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2022-02-19,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2022-02-19,,18.149999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-02-20,,3.4700000000000273,"{""type"":""MultiPoint"",""coordinates"":[]}"
